0	all cats love to sleep . does sheba love to sleep?
1	If they eat junk food, then they will gain weight. We know that atleast one of the following is true (1) he won't stay healthy and (2) he won't gain weight. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) paul doesn't go to the gym and (b) he doesn't eat junk food
2	If someone goes to the gym, then they will be fit. If they eat unhealthy food, then they will be unhealthy. We know that atleast one of the following is true (1) John goes to the gym and (2) he won't be unhealthy. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will be fit and (b) he doesn't eat unhealthy food
3	john has a pet dog does this imply that someone has a pet dog?
4	If someone is walking in the park, then they will see the birds. If they are jogging on the track, then they will watch the runners. We know that atleast one of the following is true (1) Joe is walking in the park and (2) Joe is jogging on the track. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will see the birds and (b) he will watch the runners
5	alice is proficient in playing the violin does this entail that someone can play the violin skillfully?
6	all cats have whiskers. does it mean that this feline is a cat?
7	If someone is studying in the library, then they will read a book. If they go to the park, then they will have a picnic. We know that atleast one of the following is true (1) Jill is studying in the library and (2) she goes to the park. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will read a book and (b) she will have a picnic
8	the company is planning to launch a new product does this entail that someone is planning to launch a new product?
9	irina won the national science fair does this mean that someone won the national science fair?
10	tom is a cat . does tom eat meat?
11	all dogs are friendly. is max friendly?
12	tony is a software engineer does this imply that someone is a software engineer?
13	If someone plays video games, then they will have improved reflexes. We know that atleast one of the following is true (1) Jack plays video games and (2) he won't have a decrease in concentration. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will have improved reflexes and (b) he doesn't watch television
14	If someone is studying for the test, then they will get good grades. If they are watching tv, then they will not get good grades. We know that atleast one of the following is true (1) Sarah is studying for the test. and (2) She is watching tv.. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) She will get good grades. and (b) She will not get good grades.
15	If someone goes to the library, then they will borrow a book. If someone goes to the park, then they will walk around the lake. We know that atleast one of the following is true (1) Nancy goes to the library and (2) Nancy goes to the park. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will borrow a book and (b) she will walk around the lake
16	all cats are pets . is john's cat a pet?
17	If someone goes for a walk , then they will pick flowers . If they go to the library , then they will read a book . Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will pick flowers  and (b) he will read a book
18	If they take medication, then they will recover quickly. We know that atleast one of the following is true (1) he won't get medical advice and (2) he won't recover quickly. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) john doesn't visit the doctor and (b) he doesn't take medication
19	If someone goes swimming, then they will stay fit. If they eat junk food, then they will put on weight. We know that atleast one of the following is true (1) Joe goes swimming and (2) he won't put on weight. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will stay fit and (b) he doesn't eat junk food
20	If someone goes to the gym, then they will stay fit. If they eat junk food, then they will gain weight. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) sharon doesn't go to the gym and (b) she doesn't eat junk food
21	john is a computer programmer does this entail that someone can program computers?
22	If someone reads a lot, then they will become knowledgeable. If they watch too much tv, then they will become less productive. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will become knowledgeable and (b) she doesn't watch too much tv
23	If they will be praised by their parents, then they will get a reward. If adam cleans the room, does this mean that he will get a reward?
24	the amazon river is the longest river in the world does this mean that someone has navigated the longest river in the world?
25	If someone goes for a walk, then they will feel energized . If they watch a movie, then they will feel relaxed. We know that atleast one of the following is true (1) she won't feel energized and (2) he won't feel relaxed. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) samantha doesn't go for a walk and (b) he doesn't watch a movie
26	If someone studies hard, then they will get good grades. If they procrastinate, then they will perform poorly. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will get good grades and (b) he doesn't procrastinate
27	If someone does not get enough sleep, then they will be tired. If they get enough rest, then they will be energized. We know that atleast one of the following is true (1) Tom does not get enough sleep. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will be tired. and (b) he doesn't get enough rest.
28	raju is a skilled carpenter does this mean that someone is proficient in carpentry?
29	timothy has a phd in economics does this imply that someone has a phd in economics?
30	this cat is a mammal . does this cat have fur?
31	If someone goes to the library, then they will read a book. If they go to the park, then they will go for a walk. We know that atleast one of the following is true (1) John goes to the library and (2) he goes to the park. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will read a book and (b) he will go for a walk
32	If someone takes the bus to work, then they will get to the office on time. If they take the train to college, then they will able to attend their classes. We know that atleast one of the following is true (1) Emily takes the bus to work. and (2) She takes the train to college.. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) She will get to the office on time. and (b) She will attend her classes.
33	fido is a dog. does fido bark?
34	all students are required to attend all classes. is sarah required to attend all classes?
35	all cats have fur. does this pet have fur?
36	If they drive safely, then they will reach their destination safely. We know that atleast one of the following is true (1) Jack drives carelessly and (2) he won't reach his destination safely. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will get a ticket and (b) he doesn't drive safely
37	If someone eats healthy food, then they will maintain their weight. If they eat junk food, then they will gain weight. and (2) he won't gain weight.. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) john doesn't eat healthy food. and (b) he doesn't eat junk food.
38	If they go out for dinner , then they will feel relaxed . We know that atleast one of the following is true (1) he won't have more energy and (2) he won't feel relaxed. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) john doesn't eat healthy food and (b) he doesn't go out for dinner
39	sandra is a student. does sandra have to write an essay before the end of the term?
40	If someone goes to the gym, then they will become stronger. If they eat unhealthy food, then they will gain weight. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will become stronger and (b) she doesn't eat unhealthy food
41	john is a proficient violin player does this imply that someone can play the violin proficiently?
42	If someone goes to the library , then they will borrow books . We know that atleast one of the following is true (1) Maggie goes to the library  and (2) she goes to the theatre . Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will borrow books  and (b) she will watch a play
43	If someone forgets their keys, then they will not be able to get in. If they remember their keys, then they will be able to get in. We know that atleast one of the following is true (1) Jacob forgets his keys. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) He will not be able to get in. and (b) he doesn't remember his keys.
44	gina is a certified yoga teacher does this imply that someone is certified in yoga teaching?
45	all books written by authors of this century are digitalized . is this book digitalized?
46	If someone is running in the park, then they will go for a swim in the lake. If someone is playing soccer in the field, then they will have a picnic on the grass. We know that atleast one of the following is true (1) John is running in the park and (2) Sarah is playing soccer in the field. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will go for a swim in the lake and (b) she will have a picnic on the grass
47	If they take a break , then they will feel more energized . We know that atleast one of the following is true (1) she won't get good grades and (2) she won't feel more energized. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) peggy isn't studying for the exam and (b) she doesn't take a break
48	If someone eats healthy food, then they will have more energy. If mary eats healthy food , does this entail that she will be more productive?
49	If they can stay disciplined, then they will be successful. If jill uses her willpower , does this imply that she will be successful?
50	If someone runs a marathon, then they will get tired. If dave runs a marathon, does this imply that he will need rest?
51	my cat loves to play with yarn . is my cat typical in its behavior?
52	If someone drives recklessly, then they will get a ticket. If they drive carefully , then they will stay safe. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will get a ticket and (b) he doesn't drive carefully
53	all parents love their children . does john love his children?
54	alice won an olympic gold medal in swimming does this entail that someone won an olympic gold medal in swimming?
55	If someone goes for a run, then they will get a good workout. We know that atleast one of the following is true (1) John goes for a run and (2) he will get any benefit. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will get a good workout and (b) he exercises at all
56	If someone shops online, then they will get their items delivered. If they go out for shopping, then they will get their items instantly. We know that atleast one of the following is true (1) she won't get her items delivered and (2) he won't get his items instantly. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) jill shops online and (b) he doesn't go out for shopping
57	If someone does not get enough sleep , then they will not be able to concentrate . If hannah does not get enough sleep, does this mean that she will not perform well in her exams?
58	mark received an a+ in math does this entail that someone achieved an a+ in math?
59	If someone is going for a walk in the park, then they will have a picnic there. If they are going to the beach, then they will take a swim. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) she will have a picnic there and (b) she will take a swim
60	john has a website does this imply that someone has a website?
61	If someone plants trees , then they will help the environment . If they pollute the air , then they will contribute to global warming . We know that atleast one of the following is true (1) John plants trees  and (2) he won't contribute to global warming. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will help the environment  and (b) he doesn't pollute the air
62	If they will perform well in their exams, then they will pass the course. If nina studies diligently , does this mean that she will pass the course?
63	sarah is a student . does sarah have to attend the class?
64	If someone goes to the beach, then they will go for a swim. If they go for a hike, then they will go for a picnic. We know that atleast one of the following is true (1) John goes to the beach and (2) he goes for a hike. Note that we do not know which ones of (1) and (2) are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) he will go for a swim and (b) he will go for a picnic
65	If someone talks to their friends, then they will understand each other better. If they argue, then they will drift apart. Note that we do not know which ones of (1) and (2) are true. It might be the case that only (1) is true, or only (2) is true or both are true. If at least one of (1) and (2) is true, can we say, at least one of the following must always be true? (a) alice doesn't talk to her friends and (b) she doesn't argue
